Compartment,Exchange,Subcompartment,Electricity_production,Electricity_consumption,Heat_Steam,Equipment_Diesel,Equipment_Gasoline,Equipment_LPG,Equipment_CNG,Equipment_Residual_Fuel_Oil,Equipment_Distillate,Equipment_Kerosene,Equipment_Petroleum_Crude_Oil,Boiler_Diesel,Boiler_Gasoline,Boiler_LPG,Boiler_CNG,Boiler_Residual_Fuel_Oil,Boiler_Distillate,Boiler_Kerosene,Boiler_Petroleum_Crude_Oil,Boiler_Coke,Boiler_Bitumen,Boiler_Coal,Boiler_Wood,Internal_Process_Transportation_Heavy_Duty_Diesel_Truck,Internal_Process_Transportation_Medium_Duty_Diesel_Truck,Internal_Process_Transportation_Barge,Internal_Process_Transportation_Cargo_Ship,Internal_Process_Transportation_Rail,Collection_Diesel,Collection_CNG,Collection_Biodiesel,Collection_Gasoline_Passenger_Vehicle,Collection_Other,Empty_Return_Heavy_Duty_Diesel_Truck,Empty_Return_Medium_Duty_Diesel_Truck,LF_Emission_Material_used,lime_hydrated_loose_weight_RoW_lime_production,ammonia_liquid_RoW_ammonia_production_steam_reforming_liquid,charcoal_GLO_charcoal_production,Nitrogen_Fertilizer,Phosphorous_Fertilizer,Potassium_Fertilizer,Peat,Gore_Cover,Wire,compost_to_LF,market_for_excavation_skid_steer_loader,
,,,kWh/Mg,kWh/Mg,MJ/Mg,L/Mg,L/Mg,L/Mg,,L/Mg,L/Mg,L/Mg,L/Mg,L/Mg,L/Mg,L/Mg,m3/Mg,L/Mg,L/Mg,L/Mg,L/Mg,,,,,kgkm/Mg,kgkm/Mg,kgkm/Mg,kgkm/Mg,kgkm/Mg,L/Mg,L/Mg,L/Mg,L/Mg,L/Mg,vkm/Mg,vkm/Mg,kg/Mg,kg/Mg,kg/Mg,kg/Mg,kg-P/Mg,kg-P/Mg,kg-K/Mg,Mg peat/Mg,kg/Mg,kg/Mg,kg/Mg,kg/m3,kg/m3
Water,Cobalt,"ground-, long-term",-3.62347E-06,3.62E-06,9.87E-08,1.78E-05,3.54E-05,1.01E-06,2.78E-05,9.90E-07,5.65E-06,0,0,5.65E-06,3.54E-05,1.01E-06,2.78E-05,9.90E-07,5.65E-06,0,0,0,0,0,0,5.56E-10,9.69E-10,3.55E-10,3.37E-11,6.91E-10,3.09E-05,5.34E-05,2.07E-05,1.59E-06,0,1.92E-08,1.88E-08,6.02E-07,5.23E-07,6.04E-06,2.33E-07,6.29E-05,8.28E-06,2.47E-06,1.94E-04,1.64E-04,2.70E-06,5.01E-05,2.90E-06,0.000066991
Water,Cobalt,ocean,-9.51603E-12,9.52E-12,1.60E-14,-2.51E-12,8.30E-12,8.07E-13,6.29E-12,8.90E-13,1.63E-12,0,0,1.63E-12,8.30E-12,8.07E-13,6.29E-12,8.90E-13,1.63E-12,0,0,0,0,0,0,-4.16E-17,1.08E-16,6.05E-18,6.52E-18,-1.92E-17,3.43E-12,2.08E-11,1.16E-11,9.98E-13,0,4.92E-15,3.46E-15,8.50E-13,4.76E-13,1.22E-12,9.36E-14,1.24E-11,2.94E-12,1.38E-12,1.65E-10,9.13E-11,1.36E-12,3.29E-12,-3.57E-13,2.89E-11
Water,Cobalt,surface water,-2.30725E-09,2.31E-09,3.46E-10,2.40E-08,1.50E-07,1.46E-08,1.06E-07,1.29E-08,2.08E-08,0,0,2.08E-08,1.50E-07,1.46E-08,1.06E-07,1.29E-08,2.08E-08,0,0,0,0,0,0,7.19E-13,1.73E-12,3.97E-13,3.47E-14,6.77E-13,5.52E-08,1.65E-07,5.15E-08,2.48E-08,0,3.98E-11,3.60E-11,5.06E-08,1.48E-09,1.17E-08,4.46E-10,9.72E-08,8.40E-09,5.96E-09,1.60E-07,3.81E-07,2.93E-09,1.15E-07,3.97E-09,2.51E-08
Water,Cobalt,unspecified,-6.77533E-09,6.78E-09,8.02E-13,9.17E-11,1.75E-09,1.15E-10,2.74E-08,1.64E-10,3.92E-10,0,0,3.92E-10,1.75E-09,1.15E-10,2.74E-08,1.64E-10,3.92E-10,0,0,0,0,0,0,7.27E-13,2.41E-14,1.56E-14,1.37E-16,1.83E-14,7.67E-10,1.26E-08,3.99E-09,3.74E-10,0,5.85E-13,5.53E-13,3.93E-10,9.00E-11,1.60E-08,1.96E-11,1.04E-08,7.57E-10,4.43E-10,2.34E-08,2.92E-08,4.64E-10,3.08E-09,1.49E-11,5.39E-09
Water,Cobalt-57,surface water,-1.83729E-06,1.84E-06,3.10E-09,-4.91E-07,7.47E-07,6.02E-08,5.79E-07,7.93E-08,1.40E-07,0,0,1.40E-07,7.47E-07,6.02E-08,5.79E-07,7.93E-08,1.40E-07,0,0,0,0,0,0,-8.31E-12,-6.44E-12,1.15E-12,1.28E-12,-3.94E-12,-2.05E-07,1.16E-07,8.93E-07,7.68E-08,0,1.23E-10,1.61E-11,1.58E-07,4.61E-08,1.31E-07,9.14E-09,1.11E-06,3.23E-07,1.33E-07,1.91E-05,9.16E-06,1.58E-07,4.93E-07,-7.00E-08,5.66E-06
Water,Cobalt-58,surface water,-0.000234984,2.35E-04,3.96E-07,-6.28E-05,0.000100739,8.20E-06,7.80E-05,1.07E-05,1.89E-05,0,0,1.89E-05,0.000100739,8.20E-06,7.80E-05,1.07E-05,1.89E-05,0,0,0,0,0,0,-1.06E-09,-6.56E-10,1.47E-10,1.63E-10,-5.03E-10,-2.09E-05,3.90E-05,0.000122583,1.04E-05,0,2.09E-08,6.09E-09,2.02E-05,6.18E-06,1.75E-05,1.22E-06,1.49E-04,4.29E-05,1.78E-05,2.53E-03,1.22E-03,2.09E-05,6.40E-05,-8.94E-06,0.00072314
Water,Cobalt-60,surface water,-8.23268E-05,8.23E-05,1.38E-07,-2.18E-05,6.76E-05,5.41E-06,5.24E-05,7.11E-06,1.21E-05,0,0,1.21E-05,6.76E-05,5.41E-06,5.24E-05,7.11E-06,1.21E-05,0,0,0,0,0,0,-3.66E-10,6.54E-10,5.15E-11,5.66E-11,-1.72E-10,2.08E-05,0.000140573,8.97E-05,7.09E-06,0,3.38E-08,2.33E-08,7.30E-06,4.01E-06,1.16E-05,7.96E-07,9.44E-05,2.81E-05,1.17E-05,1.56E-03,7.38E-04,1.38E-05,2.69E-05,-3.10E-06,0.00025101
Water,"COD, Chemical Oxygen Demand",ground-,-1.47443E-08,1.47E-08,4.77E-11,7.27E-09,3.05E-08,3.40E-09,2.11E-08,2.24E-09,7.15E-09,0,0,7.15E-09,3.05E-08,3.40E-09,2.11E-08,2.24E-09,7.15E-09,0,0,0,0,0,0,2.93E-13,6.84E-13,2.45E-13,2.04E-14,3.26E-13,2.18E-08,6.71E-08,2.99E-08,5.60E-09,0,1.54E-11,1.50E-11,2.10E-09,1.22E-09,3.90E-09,3.50E-10,4.30E-08,9.61E-09,4.85E-09,4.39E-07,2.16E-07,6.84E-09,3.81E-08,1.36E-09,5.92E-08
Water,"COD, Chemical Oxygen Demand","ground-, long-term",-3.75147E-05,3.75E-05,5.33E-06,0.000519584,0.003785267,1.37E-04,2.98E-03,0.000144288,0.00071904,0,0,0.00071904,0.003785267,0.000137334,0.002976574,0.000144288,0.00071904,0,0,0,0,0,0,1.46E-08,4.46E-08,1.52E-08,7.64E-10,1.99E-08,0.00141928,0.005462125,0.001775494,0.00018847,0,1.10E-06,1.00E-06,0.000237355,5.97E-05,0.00028452,2.78E-05,2.94E-03,4.43E-04,2.31E-04,2.17E-02,1.20E-02,0.001637995,0.001672235,0.000091116,0.000824
Water,"COD, Chemical Oxygen Demand",ocean,-7.73916E-06,7.74E-06,1.04E-06,0.00128712,0.002042333,1.61E-03,2.17E-04,0.001544091,0.00163068,0,0,0.00163068,0.002042333,0.001605606,0.000217393,0.001544091,0.00163068,0,0,0,0,0,0,3.83E-08,6.97E-08,1.53E-08,2.88E-07,1.83E-08,0.002220028,0.001853483,0.000848165,0.002178591,0,1.21E-06,1.22E-06,6.70E-06,0.000124143,0.000335328,8.76E-06,1.19E-03,5.80E-05,8.06E-05,1.83E-03,1.29E-03,2.67E-05,0.003294651,0.00019638,0.0006582
