"('SWOLF_Eutrophication', 'SWOLF')","('initflow', 'N_cont')","('Material_Properties', 'mcFC')","('Land_app', 'densPeat')","('initflow', 'C_cont')","('Land_app', 'perNasNH3fc')","('Land_app', 'PeatSubFac')","('Land_app', 'MFEN')","('Land_app', 'NO3')","('Material_Properties', 'densFC')","('Lanfill', 'percCStor_LF')","('Land_app', 'perNH3evap')","('Soil_seq', 'perCStor')"
-2.113331522,0.012835469,0.605042626,188.7141068,0.179710109,28.00362351,0.777170359,0.478336407,0.550451576,595.3306461,89.10433294,17.79655965,4.092300111
-6.042201186,0.017692735,0.415865638,194.4698737,0.170585937,34.73672075,0.333915473,0.410850968,0.769743608,651.6984809,86.67488508,17.43283633,14.74672454
-2.415443741,0.027490869,0.606657611,184.2272319,0.231384512,27.72570678,0.389561526,0.389922151,0.273357047,746.2241244,89.31140594,14.28498034,6.923589329
-2.477530928,0.008707707,0.55060962,187.2943281,0.24171781,14.51670956,0.355221133,0.626881956,0.860983137,610.8311607,91.03264039,14.92814727,7.119497023
-1.223676817,0.00866226,0.552928221,165.6015445,0.193178245,36.7636205,0.721144666,0.761282206,0.442191235,615.538392,86.26207335,16.79984025,6.285747254
-2.57746838,0.012714999,0.44797228,196.0869356,0.375492823,36.62559716,0.591500743,0.27333908,0.391755925,840.3157056,88.70303999,14.68186999,7.482233836
-1.178651644,0.026281127,0.644805536,259.7495038,0.129617855,9.042969129,0.379219835,0.493594031,0.174328791,535.1952695,91.50863419,13.87802271,6.257504297
-4.317508249,0.019727189,0.595140535,231.4924099,0.238371509,2.978011029,0.924582582,0.236787492,0.585068188,783.5775497,87.92195516,12.80460304,12.98354301
-1.380421227,0.009686044,0.248886771,197.5216796,0.400685336,19.04279613,0.667292736,0.589530461,0.281424592,677.7814289,86.68140634,16.11578344,9.095019402
-0.490647791,0.008597922,0.503316112,111.5138437,0.1976301,29.91509549,0.741078371,0.363170936,0.131351314,797.2589,86.66809598,17.95263176,8.987380859
-10.08075138,0.025302751,0.270455329,265.3530997,0.358739822,37.51026729,0.488856063,0.317126868,0.604533625,554.6265555,90.48226129,17.92660469,8.250692759
-2.88724937,0.012840953,0.357835697,239.1946792,0.358534051,4.746611769,0.707886775,0.479067757,0.496492651,620.7579809,94.60365898,12.3391314,4.040362528
-1.906058263,0.010530964,0.533775502,146.9331956,0.153207911,48.31637178,0.708733224,0.244245852,0.426641658,606.8280192,88.36100792,16.88011118,15.84871992
-1.132288668,0.011871968,0.46307497,203.5116381,0.176342637,2.284214588,0.612123812,0.797850719,0.292823237,761.1387119,81.54404099,14.31462607,9.604196468
-0.754709564,0.01882338,0.286714661,236.7714486,0.16003435,23.87004689,0.863423321,0.438893348,0.080378714,705.3016999,86.84972346,11.71986575,14.58336469
-0.469651133,0.008324217,0.660639931,159.1197637,0.277213291,32.01851913,0.258610274,0.694450263,0.24660713,736.4413707,91.88158689,18.75936176,3.473464613
-3.593069171,0.013412302,0.547929426,246.5442438,0.204935688,26.38349559,0.671115443,0.360575061,0.712789547,622.0201168,90.5747707,11.97323501,7.872028199
-1.12466512,0.005161204,0.424338356,254.6791404,0.358557883,25.346892,0.560514438,0.633081814,0.527514286,604.2208869,92.9921782,10.02703569,2.246041949
-5.731947146,0.017545091,0.318405773,187.4780157,0.146936662,33.67058237,0.729330948,0.451372288,0.611153469,536.0490855,94.69723254,15.09704563,4.947066266
-0.404250695,0.01176037,0.531401945,70.37800694,0.323782165,19.05405836,0.735238436,0.338887859,0.094638179,619.5168454,93.50039409,12.86624879,7.662772185
-0.706291233,0.01045087,0.242801761,303.5948712,0.429436122,23.26756347,0.744647195,0.293945189,0.105074864,766.3539163,92.26090658,13.92353564,11.96124971
-5.773444227,0.016502595,0.259042138,159.132848,0.284658088,12.5322049,0.650210369,0.214875465,0.526534984,591.1537738,88.66843854,18.20721294,10.20302187
