,Unnamed: 0,"('IPCC 2013, Ecoinvent V3.5', 'climate change', 'GWP 100a, bioCO2=1, C1_36')","('IPCC 2013, Ecoinvent V3.5', 'climate change', 'GWP 100a, bioCO2=0, C1_36')","('IPCC 2007, Ecoinvent V3.5', 'climate change', 'GWP 100a, bioCO2=1')","('IPCC 2007, Ecoinvent V3.5', 'climate change', 'GWP 100a, bioCO2=0')","('SWOLF_Acidification', 'SWOLF')","('SWOLF_Eutrophication', 'SWOLF')","('SWOLF_CED', 'SWOLF')","('CML (v4.4, 2015)', 'resources', 'depletion of abiotic resources - elements, ultimate reserves')","('Land_app', 'cmpLandDies')","('Land_app', 'NO3')","('Land_app', 'frac_gw')","('Land_app', 'MFEN')","('Land_app', 'MFEP')","('Land_app', 'MFEK')","('Land_app', 'DslAppN')","('Land_app', 'DslAppP')","('Land_app', 'DslAppK')","('Land_app', 'R_NO3')","('Land_app', 'R_N2O')","('Land_app', 'R_NH3')","('Land_app', 'PeatSubFac')","('Land_app', 'densPeat')","('Land_app', 'moistPeat')","('Land_app', 'CContPeat')","('Land_app', 'CstorePeat')","('Land_app', 'perN2Oevap')","('Land_app', 'perNH3evap')","('Land_app', 'perNasNH3fc')","('operation', 'allocation_ADC')","('Material_Properties', 'mcFC')","('Material_Properties', 'densFC')","('Soil_seq', 'perCStor')","('initflow', 'C_cont')","('initflow', 'N_cont')","('initflow', 'P_cont')","('initflow', 'K_cont')","('Lanfill', 'CH4_Collected')","('Lanfill', 'Frac_oxidized')","('Lanfill', 'Frac_flared')","('Lanfill', 'percCStor_LF')","('Lanfill', 'Elec_eff')","('Lanfill', 'frac_CH4')","('Lanfill', 'DC_subs_fac')","('Lanfill', 'Soil_dens')","('Lanfill', 'DC_thickness')","('Lanfill', 'ADC_thickness')","('Lanfill', 'Frac_NH4')","('Lanfill', 'LCRS_eff')","('Lanfill', 'NH4_rmv_eff')","('Lanfill', 'Grid_mix')"
"('Land_app', 'frac_gw')",0.0007462482453822397,0.002843979449263664,0.008589678876090712,0.0024448184151896935,0.007361394025636775,-0.005840080197288011,-0.003721335197552516,-0.005644059130895326,-0.008037336430702197,-0.01074884735902774,-0.0023827839420256236,1.0,0.004709741630001634,-0.002540415796374304,-0.007701243932716041,0.012961707851714197,-0.0014167881381947126,-0.00022446987670837545,0.009926999254331532,0.0061519998128213745,0.010821981433421198,-0.00799626536493542,0.006781410754539383,-0.005901699853198394,-0.0009333846439316863,-0.010578858797769552,0.003982602386243182,0.002664246829998462,0.013855332450493923,-0.011716764196245438,0.0019589564668004316,0.0006603128732746398,-0.0023227744743584337,-0.007158601317416647,-8.348084676604587e-05,-0.005417262095297155,-0.007616046930351763,-0.01127834733549854,-0.014579883417986219,-0.003922711714999724,-0.006494177441046773,-0.005129239257119986,0.008897577626974965,0.002593056662915676,0.0007336889973340219,0.003887493711784574,0.007000559964805865,0.009125937215971327,0.0002940137466334901,0.007223553785832497,-0.007749992895778829
"('Land_app', 'MFEN')",-0.007701480059924708,0.000992572431080299,0.007111526505454566,0.0007802865898926501,0.006317121607598091,-0.0028314564654178423,0.0023931020679166825,-0.0026858096939864962,-0.0041133744601330215,0.01009128846591044,0.010625382133826593,0.004709741630001634,1.0,-0.007464641018109565,0.0003779316296647526,0.005755044124164253,-0.0006890287919636098,0.0046996377259647315,0.004117492984556462,-0.0005693123199036041,-0.005799326513894453,-0.005389032612831763,0.009336580710040778,-0.000489539779881028,0.005575960638366368,-0.0050689647830428905,0.0002269744474690703,-0.0010495003675524918,-0.010969817515242905,-0.006175167462379435,0.0013010750501004109,0.005364242111738344,0.007248717985670165,-0.004746207673935975,0.003815786531727412,0.002534104035831965,-0.0051136777577965534,-0.005606348164333365,-0.003965965021382566,-0.002408152742004239,-0.00877516005203747,-0.00544143412670497,0.004498818465743817,-0.00450187030388944,-0.004710142359827862,0.0041700834660052906,0.00879539698890502,0.010747242143436645,3.454192807982771e-05,-0.007620980001797166,0.001713452848599159
"('Land_app', 'MFEP')",-0.022210239106713502,0.0026271572553891996,-0.00470477138939381,0.002584197165203104,-0.004673234082213399,0.002004242983384289,0.005794765616804454,0.0017659896505183414,0.004143236394042399,-0.002294476825658148,0.00852735891191873,-0.002540415796374304,-0.007464641018109565,1.0,-0.009077569279491304,-0.007071293481458646,0.006203254526339146,-0.004929490436833079,-0.0012261249910112306,0.004382379688627844,-0.011593158730355442,0.019538644570539193,0.0002297196201721385,0.009229655489224225,0.0008420750400917554,0.01629993686851944,0.010732312144951727,0.0027150464820531973,0.010207165794518363,0.008715333499659996,-0.0034874417360420233,-0.007423797920603664,0.0055782460056898586,0.0012347064276169175,0.0017791321722582048,-0.014063448049687352,0.01196411591811266,0.00030089813555509505,-0.01473141890638096,-0.0002229673595435033,0.008654309142504937,0.0006371698855220873,0.0037430779099534546,0.010330706899431094,-0.016601443620079377,0.0015401378323634492,0.0030672754733635753,0.0038862807454741106,-0.0007625366950651136,0.014941188445125089,-0.006913200582717405
"('Land_app', 'MFEK')",-0.004988962672516386,0.001231479672272579,0.0030496027543085308,0.0012685050763248773,0.0026588387439049946,0.0008032389007465369,0.006673541228625003,0.0005131247087268614,0.003540386181653287,-0.002913484607044438,0.0008180834229412975,-0.007701243932716041,0.0003779316296647526,-0.009077569279491304,1.0,-0.006920959903986146,0.0018771549270619838,-0.006087422641545372,-0.0038928441231429584,0.005182936931325538,-0.009439449628542682,-0.003133059167189892,0.0011493721595050312,-0.005880165266787394,-0.0022573382726774095,0.00841963093766557,0.0007832369655100071,0.0014073176253245265,0.0030587409541065784,0.010241202149655314,-0.004630776396995688,-0.005978579189944116,0.00584544404806281,-0.00920645340114,-0.0003507718055959354,-0.01627233410918269,-0.0072860749017545435,0.0041088125559452715,0.008845439136530112,-0.0032846123273861964,-0.006082682245719609,0.001272811843389958,0.012408263343258752,0.011058766234477968,0.0013031414890390812,-0.006478497611747404,0.0001371790197631303,0.007312216279382216,0.0008033060915844882,-0.01693039287430198,0.0031780148859520043
"('Land_app', 'DslAppN')",0.002629727388525553,0.012486339645010204,-0.013279808684625284,0.012564930735624803,-0.01375780266864235,-0.01656290838445741,-0.009077811268436198,-0.016490141922149766,-0.016538292867131033,-0.00964568010003444,-0.004503442609610505,0.012961707851714197,0.005755044124164253,-0.007071293481458646,-0.006920959903986146,1.0,0.005884554503057,-0.00395328631968061,0.0035176146699970813,-2.783858979559682e-05,-0.01248163478218847,0.005163458497267972,-0.0029753895043610336,-0.015370827321513222,-0.01055315647648047,-0.008381857235215645,0.0017394796862543033,-0.012783897196995556,0.014131051385846005,-0.00911859739832948,-0.014604384459641876,-0.0037851647541688846,-0.004904715681667118,0.0035098744365923895,0.0007419506676347717,0.0021220038321458318,0.008719423094707189,0.01343022924558814,-0.0006444977407722566,0.010799839410655338,-0.007554128209873257,0.005103722373243443,0.008932104913275611,-0.00829860487682122,0.0049499076917947325,0.010678609033549603,0.002521592479809865,-0.013184523988278353,-0.0018251347382726658,0.006700030780506644,0.004108309398917599
"('Land_app', 'DslAppP')",-0.00198334651571525,0.005146130559137314,-0.003025263144513444,0.00502415836419556,-0.003485056583770201,-0.004208787407161768,-0.007687691042233363,-0.00420433293703788,-0.0038918560985820054,-0.007095836947782796,0.0010910801286439283,-0.0014167881381947126,-0.0006890287919636098,0.006203254526339146,0.0018771549270619838,0.005884554503057,1.0,-0.0006568907674742512,-0.010093899408053804,-0.0058297344817447375,0.0005405589888033002,0.007658494272284974,0.0010234122840944559,-0.0019199041479851936,-0.0015276061674261378,0.0059538349339595155,0.008304997141083712,0.008022798203538985,-0.007105039208438718,-0.001019770455555284,0.006362490857308281,6.916897435093548e-05,0.005980563700820752,0.007727134709028695,0.004113289526115311,-0.009183535026071539,0.00586515026456749,0.002741267787529495,-0.012803270754149287,0.0017580561530099674,-0.002369060056193599,-0.006584792702851806,-0.00026568902578764074,-0.0002282120577248008,-0.009723675464998615,0.011779273736029309,0.009360953441041488,-0.011908522216190327,0.010041951062907048,-0.00299335096328339,0.0009528026293839636
"('Land_app', 'DslAppK')",0.0012019522027574587,-0.009014870844143714,0.011970652954429162,-0.008699981036508656,0.01227329507174359,0.006538616474248784,0.0062356415911262895,0.006501166609832397,0.006639961475634663,-0.007535024240125154,0.0011298777773616961,-0.00022446987670837545,0.0046996377259647315,-0.004929490436833079,-0.006087422641545372,-0.00395328631968061,-0.0006568907674742512,1.0,-0.000931885747685471,0.010877825705030285,-0.0073139718204583695,-0.01304483520308235,-0.0015004261317140986,0.014542538803024736,-0.007444871248463704,-0.0029835202458728736,0.0004011996824247113,0.005014785801671878,-0.008655428375077524,0.004026351445401658,0.004169325284854311,-0.003141659092741773,-0.0045840057938755846,-0.010455500641491764,0.005102349734166586,0.008493458272249194,0.0027431917283748585,0.012357684189243576,-0.009539326929060926,0.0011665973717028266,-0.006154048360545373,0.001310594015214798,-0.0071950706148331545,0.002531159607224751,-0.0088806834075454,-0.011867945955686432,0.0009406888754091418,0.004755940783059291,-0.002883237727010682,0.003033517797911846,-0.006870017131440083
"('Land_app', 'R_NO3')",-0.0068756172844656035,-0.008517575588583145,-0.000685094963329084,-0.008367897040422187,0.0005196867055390173,0.00955239232217562,0.004910970208310176,0.00969480818639313,0.007629068447935938,0.011629698195143446,0.001611500492002548,0.009926999254331532,0.004117492984556462,-0.0012261249910112306,-0.0038928441231429584,0.0035176146699970813,-0.010093899408053804,-0.000931885747685471,1.0,-0.004764816214355186,0.00528632313772322,0.0009291430064142304,-0.00029048420356355683,-0.0031019991360387187,-0.005668295205498899,-0.01400582906964994,-0.0008976083766017106,0.0031364725353515716,0.003061965950810308,-0.0017275819509528665,0.00579453063789448,-0.008320760061597985,-0.00593339212402376,-0.0022298626474185016,0.00018234149176089978,0.0012406844752924917,-0.009249566991645643,0.004453272825251359,0.0026176563814483914,0.0034777382375765506,0.011258581562367788,0.0026196733899470264,-0.000705379010930989,-0.006574803949374179,-0.009206314026136976,-0.0007842577507419676,-0.008004547591870253,0.0007334201345358568,0.004130505732995874,0.005680610772321565,-0.01096207374433791
"('Land_app', 'R_N2O')",0.0013416520802520227,0.0021047722567958467,-0.001714302727219514,0.00234951971968278,-0.0017408332368668235,0.003280940121132401,0.000508413835576293,0.0032787129786105876,0.003186413178988721,-0.007343785731167228,0.006276806971241055,0.0061519998128213745,-0.0005693123199036041,0.004382379688627844,0.005182936931325538,-2.783858979559682e-05,-0.0058297344817447375,0.010877825705030285,-0.004764816214355186,1.0,0.007696746255932912,0.0051668618062619374,-0.009953083563906657,-0.0036158369369061697,-0.0019497929713609987,-0.0003131762966817863,0.0004649235973507888,0.007713517519192055,0.0050208440643277254,0.001513661473512471,1.3416177566864343e-06,-0.009004875455145604,0.0005348188335930064,0.0015689884996109341,-0.00439637928921683,-0.0037431947419206703,-0.003533032960691686,0.0015604221986143805,0.008672541934167149,-0.0005808746524666789,0.001051537509115026,-0.009709793833375868,-0.000873202529225963,-0.003738444767428071,-0.00828505055533431,0.007505156925230888,-0.007272722535185686,0.0031098633671120977,-0.010220204125371495,0.013297963890962227,-0.00618540207575997
"('Land_app', 'R_NH3')",-0.0093156551323255,0.015211323678001952,-0.012033800493829957,0.01487679151440671,-0.013129712536170068,-0.011329143409769158,-0.010344651955537862,-0.011335351990750711,-0.010500589849993526,-0.008133646883635041,-0.00671066609265354,0.010821981433421198,-0.005799326513894453,-0.011593158730355442,-0.009439449628542682,-0.01248163478218847,0.0005405589888033002,-0.0073139718204583695,0.00528632313772322,0.007696746255932912,1.0,0.007488635605297692,0.0034160076993842714,-0.00118236178824771,-0.004429553364326001,0.0021095925685924092,0.006129312962244807,0.01111151550308297,0.006264786855767391,-0.0030415017208106437,-0.00035879691306268024,0.008509021957790333,0.001126086554931765,0.01630186130840183,0.0004145730966102027,0.005008594718443173,-0.007719718733905166,-0.005619645743066565,-0.003789265363680459,0.005979214388679098,-0.000166349619674191,0.0026940010326356283,0.01152456199948663,-0.008411484880460474,-0.010973581864059933,0.004875496377916044,-0.00296450118186985,-0.006749166153164238,0.010992327585972938,0.00446303222874147,-0.0053118047026372165
"('Land_app', 'PeatSubFac')",-0.008964967627075977,0.0049449936675335995,0.004738469539572532,0.004802576790521977,0.0036621513042322945,-0.005803848313193616,-0.015550345069230509,-0.005829346997805147,-0.0056653162408534866,-0.004873311820574226,0.012074080770192454,-0.00799626536493542,-0.005389032612831763,0.019538644570539193,-0.003133059167189892,0.005163458497267972,0.007658494272284974,-0.01304483520308235,0.0009291430064142304,0.0051668618062619374,0.007488635605297692,1.0,0.010844384627215679,-0.0036454862502515706,0.00287195843647874,0.0013507980766134307,-0.017443130823718414,0.0012166257040623866,0.017880073307410153,-0.0031061044725842687,0.0016205633324921519,-0.008617500895619998,-0.008874967167576244,-0.0036042141794626072,-0.01540245255049243,0.0016962257017959586,0.011253063114226558,0.0008904101767400083,-0.005484273064412303,0.003110044159907231,-0.010931841996344728,0.008974522014556176,0.014593938630726496,0.003400377297929957,-0.0036664774794143624,0.01282487667683065,-0.004644595850954076,-0.005695502744780995,0.0014269746762075322,-0.0037167211633449757,-0.003477937030556973
"('Land_app', 'densPeat')",0.009553796056707545,-0.0014937827561992956,0.002283146191491023,-0.0016583237503570271,0.0022196277188344473,-2.842359729195891e-05,-0.00014709839335458238,0.00010456517731772418,-0.0017120320207996106,0.0015940537316256134,-0.0007475570983432575,0.006781410754539383,0.009336580710040778,0.0002297196201721385,0.0011493721595050312,-0.0029753895043610336,0.0010234122840944559,-0.0015004261317140986,-0.00029048420356355683,-0.009953083563906657,0.0034160076993842714,0.010844384627215679,1.0,0.0007101603751830331,0.00760444398883505,-0.007709752147380816,0.0008720070618779101,0.013187892787146653,-0.008628532696772535,-0.006475850649454379,-0.011201720744791845,-0.0018617073511801507,-0.0019584355849012673,-0.010700990316483174,-0.004645750794030582,-0.007824989540866554,-0.0007283883422407248,-0.0007446295035238271,-0.005740668787874849,0.0036277637426678066,0.0007804380274235727,0.003155198238570328,-0.008636802657013705,0.0014098791797497107,-0.0055363076149033885,-0.004405887987315572,-0.007443915210765773,0.0018192465470392434,-0.0002530936288342204,0.008586413164530729,0.00319603501969678
"('Land_app', 'moistPeat')",-0.0017272313780243751,-0.008074959005811037,0.0030136206462576453,-0.008091916124898254,0.003788827685848232,-0.0026499981909384293,0.0001935020438763721,-0.0024510012649335655,-0.004294580477729747,0.0009181027046528191,0.005074537381646804,-0.005901699853198394,-0.000489539779881028,0.009229655489224225,-0.005880165266787394,-0.015370827321513222,-0.0019199041479851936,0.014542538803024736,-0.0031019991360387187,-0.0036158369369061697,-0.00118236178824771,-0.0036454862502515706,0.0007101603751830331,1.0,0.002039591827144574,-0.0010134204843395102,0.013192723192751468,-0.008569794059845273,0.0025546063553859803,-0.0072091395469043125,-0.006515395254104804,0.004742081477563969,0.005232805440031795,-0.010185191868750991,0.007636445407960524,-0.007043256533957954,0.00936709864244973,0.012575207291922675,-0.005076699660020725,0.000276051804455106,0.004747602566279812,0.006336547056690886,-0.004111284765141488,-0.013555946615341725,0.004269141902359697,-0.001497029146071239,0.0021467001488989584,-0.0068311551149781565,-0.00040254584689362476,0.004489771486219652,0.012755858657266736
